src/main/java/co/edu/unbosque/horizont/HorizontApplication.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:56:	FieldNamingConventions:	FieldNamingConventions: The field name 'funding_source' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:63:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getGiven_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:72:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'given_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:72:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'given_name' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:72:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setGiven_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:81:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getFamily_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:90:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'family_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:90:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'family_name' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:90:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setFamily_name' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:99:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getDate_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:108:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'date_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:108:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'date_of_birth' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:108:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setDate_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:117:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getTax_id' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:126:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'tax_id' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:126:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'tax_id' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:126:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setTax_id' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:135:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getTax_id_type' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:144:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'tax_id_type' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:144:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'tax_id_type' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:144:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setTax_id_type' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:153:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getCountry_of_citizenship' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:162:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'country_of_citizenship' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:162:	LongVariable:	LongVariable: Avoid excessively long variable names like country_of_citizenship
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:162:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'country_of_citizenship' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:162:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setCountry_of_citizenship' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:171:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getCountry_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:180:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'country_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:180:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'country_of_birth' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:180:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setCountry_of_birth' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:189:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getCountry_of_tax_residence' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:198:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'country_of_tax_residence' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:198:	LongVariable:	LongVariable: Avoid excessively long variable names like country_of_tax_residence
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:198:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'country_of_tax_residence' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:198:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setCountry_of_tax_residence' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:207:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'getFunding_source' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:216:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'funding_source' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:216:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'funding_source' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/IdentityDTO.java:216:	MethodNamingConventions:	MethodNamingConventions: The instance method name 'setFunding_source' doesn't match '[a-z][a-zA-Z0-9]*'
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:1:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:2:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:8:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:9:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:10:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:11:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:14:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/alpaca/package-info.java:15:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:10:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:10:	DataClass:	DataClass: The class 'QuoteDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=10, WMC=10)
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:30:	LongVariable:	LongVariable: Avoid excessively long variable names like previousClosePrice
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:38:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'currentPrice' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:46:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'highPrice' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:54:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'lowPrice' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:62:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'openPrice' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:70:	LongVariable:	LongVariable: Avoid excessively long variable names like previousClosePrice
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteDTO.java:70:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'previousClosePrice' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:3:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:5:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:7:	DataClass:	DataClass: The class 'QuoteWithSymbolDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=6)
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:18:	UncommentedEmptyConstructor:	UncommentedEmptyConstructor: Document empty constructor
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:23:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:25:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'quote' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:25:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'symbol' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:34:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'symbol' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/QuoteWithSymbolDTO.java:42:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'quote' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/package-info.java:1:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/package-info.java:4:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/package-info.java:7:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/package-info.java:12:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/client/finnhub/package-info.java:13:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:3:	DataClass:	DataClass: The class 'UsuarioDTO' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=22, WMC=24)
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:4:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:5:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:6:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:7:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:8:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:13:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:16:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:16:	UncommentedEmptyConstructor:	UncommentedEmptyConstructor: Document empty constructor
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:18:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:18:	ExcessiveParameterList:	ExcessiveParameterList: Avoid long parameter lists.
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'apellido' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'correo' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:18:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'telefono' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ciudad' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'codigoPostal' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'direccion' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:19:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'estado' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fechaNacimiento' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'pais' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:20:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ssn' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:37:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:40:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'apellido' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:43:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'correo' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:46:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'telefono' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'direccion' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:52:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ciudad' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:55:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'estado' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:58:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'codigoPostal' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:61:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'pais' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:64:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fechaNacimiento' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/UsuarioDTO.java:67:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ssn' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/dto/internal/package-info.java:1:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/dto/internal/package-info.java:4:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:1:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:4:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:5:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:10:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:16:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:17:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/dto/package-info.java:20:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:7:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:7:	DataClass:	DataClass: The class 'Usuario' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=24, WMC=26)
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:11:	ShortVariable:	ShortVariable: Avoid variables with short names like id
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:17:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:29:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:32:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:35:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:38:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:41:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:44:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:46:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:46:	UncommentedEmptyConstructor:	UncommentedEmptyConstructor: Document empty constructor
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	ExcessiveParameterList:	ExcessiveParameterList: Avoid long parameter lists.
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'apellido' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'correo' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'direccion' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:48:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'telefono' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ciudad' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'codigoPostal' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'estado' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:49:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'pais' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:50:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fechaNacimiento' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:50:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ssn' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:67:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'id' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:67:	ShortVariable:	ShortVariable: Avoid variables with short names like id
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:70:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'nombre' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:73:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'apellido' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:76:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'correo' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:79:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'telefono' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:82:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'direccion' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:85:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ciudad' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:88:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'estado' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:91:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'codigoPostal' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:94:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'pais' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:97:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'fechaNacimiento' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/Usuario.java:100:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'ssn' is not assigned and could be declared final
src/main/java/co/edu/unbosque/horizont/entity/package-info.java:2:	CommentSize:	CommentSize: Comment is too large: Too many lines
src/main/java/co/edu/unbosque/horizont/entity/package-info.java:5:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/entity/package-info.java:6:	CommentSize:	CommentSize: Comment is too large: Line too long
src/main/java/co/edu/unbosque/horizont/exception/BaseResponse.java:10:	DataClass:	DataClass: The class 'BaseResponse' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=9)
